prenom,nom,doi,putcode,type,revue,issn,editeur,titre,annee
Marc,Amyot,10.1016/j.scitotenv.2014.05.151,19444003,JOURNAL_ARTICLE,The Science of The Total Environment,0048-9697,Elsevier BV,Mercury in freshwater ecosystems of the Canadian Arctic: Recent advances on its cycling and fate,2015
Marc,Amyot,10.1016/j.scitotenv.2014.05.151,24231794,JOURNAL_ARTICLE,The Science of The Total Environment,0048-9697,Elsevier BV,Mercury in freshwater ecosystems of the Canadian Arctic: Recent advances on its cycling and fate,2015
Marc,Amyot,10.1016/j.scitotenv.2014.05.133,16533210,JOURNAL_ARTICLE,The Science of The Total Environment,0048-9697,Elsevier BV,Mercury in the marine environment of the Canadian Arctic: Review of recent findings,2015
Marc,Amyot,10.1016/j.scitotenv.2014.05.133,19443969,JOURNAL_ARTICLE,The Science of The Total Environment,0048-9697,Elsevier BV,Mercury in the marine environment of the Canadian Arctic: Review of recent findings,2015
Marc,Amyot,10.1016/j.scitotenv.2014.05.133,24231793,JOURNAL_ARTICLE,The Science of The Total Environment,0048-9697,Elsevier BV,Mercury in the marine environment of the Canadian Arctic: Review of recent findings,2015
Marc,Amyot,10.1016/j.scitotenv.2015.01.040,16533212,JOURNAL_ARTICLE,The Science of The Total Environment,0048-9697,Elsevier BV,"Mercury methylation and demethylation by periphyton biofilms and their host in a fluvial wetland of the St. Lawrence River (QC, Canada)",2015
Marc,Amyot,10.1016/j.scitotenv.2015.01.040,19443915,JOURNAL_ARTICLE,The Science of The Total Environment,0048-9697,Elsevier BV,"Mercury methylation and demethylation by periphyton biofilms and their host in a fluvial wetland of the St. Lawrence River (QC, Canada)",2015
Marc,Amyot,10.1016/j.envpol.2014.11.007,16533214,JOURNAL_ARTICLE,Environmental Pollution,0269-7491,Elsevier BV,"Spatio-temporal variations in biomass and mercury concentrations of epiphytic biofilms and their host in a large river wetland (Lake St. Pierre, Qc, Canada)",2015
Marc,Amyot,10.1016/j.envpol.2014.11.007,19443861,JOURNAL_ARTICLE,Environmental Pollution,0269-7491,Elsevier BV,"Spatio-temporal variations in biomass and mercury concentrations of epiphytic biofilms and their host in a large river wetland (Lake St. Pierre, Qc, Canada)",2015
Marc,Amyot,10.1007/s00300-014-1561-3,19443807,JOURNAL_ARTICLE,Polar Biology,0722-4060,Springer Science and Business Media LLC,Ecological determinants of methylmercury bioaccumulation in benthic invertebrates of polar desert lakes,2014
Marc,Amyot,10.1021/es404839t,13214423,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),Effects of Experimental Thermocline and Oxycline Deepening on Methylmercury Bioaccumulation in a Canadian Shield Lake,2014
Marc,Amyot,10.1007/s10646-013-1087-4,11260458,JOURNAL_ARTICLE,Ecotoxicology,0963-9292,Springer Science and Business Media LLC,An investigation of enhanced mercury bioaccumulation in fish from offshore feeding,2013
Marc,Amyot,10.1007/s10646-013-1087-4,13214424,JOURNAL_ARTICLE,Ecotoxicology,0963-9292,Springer Science and Business Media LLC,An investigation of enhanced mercury bioaccumulation in fish from offshore feeding,2013
Marc,Amyot,10.1016/j.scitotenv.2012.11.095,11260459,JOURNAL_ARTICLE,The Science of The Total Environment,0048-9697,Elsevier BV,"Mercury, arsenic and selenium concentrations in water and fish from sub-Saharan semi-arid freshwater reservoirs (Burkina Faso)",2013
Marc,Amyot,10.1016/j.scitotenv.2012.11.095,13214425,JOURNAL_ARTICLE,The Science of The Total Environment,0048-9697,Elsevier BV,"Mercury, arsenic and selenium concentrations in water and fish from sub-Saharan semi-arid freshwater reservoirs (Burkina Faso)",2013
Marc,Amyot,10.1021/es300760e,5534431,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),Divalent Base Cations Hamper Hg-II Uptake,2012
Marc,Amyot,10.1021/es300760e,11260461,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),Divalent base cations hamper Hg II uptake,2012
Marc,Amyot,10.1016/j.envpol.2012.02.003,5534438,JOURNAL_ARTICLE,Environmental Pollution,0269-7491,Elsevier BV,"Factors affecting methylmercury biomagnification by a widespread aquatic invertebrate predator, the phantom midge larvae Chaoborus",2012
Marc,Amyot,10.1016/j.envpol.2012.02.003,11260462,JOURNAL_ARTICLE,Environmental Pollution,0269-7491,Elsevier BV,"Factors affecting methylmercury biomagnification by a widespread aquatic invertebrate predator, the phantom midge larvae Chaoborus",2012
Marc,Amyot,10.1111/j.1365-2427.2012.02793.x,5534486,JOURNAL_ARTICLE,Freshwater Biology,0046-5070,Wiley,"Shifts in elemental composition, methylmercury content and d15N ratio during growth of a High Arctic copepod",2012
Marc,Amyot,10.1111/j.1365-2427.2012.02793.x,11260463,JOURNAL_ARTICLE,Freshwater Biology,0046-5070,Wiley,"Shifts in elemental composition, methylmercury content and δ 15N ratio during growth of a High Arctic copepod",2012
Marc,Amyot,10.1071/EN11140,5534495,JOURNAL_ARTICLE,Environmental Chemistry,1448-2517,CSIRO Publishing,"The fate of mercury in Arctic terrestrial and aquatic ecosystems, a review",2012
Marc,Amyot,10.1071/EN11140,11260460,JOURNAL_ARTICLE,Environmental Chemistry,1448-2517,CSIRO Publishing,"The fate of mercury in Arctic terrestrial and aquatic ecosystems, a review",2012
Marc,Amyot,10.1071/en11140,19443975,JOURNAL_ARTICLE,Environmental Chemistry,1448-2517,CSIRO Publishing,"The fate of mercury in Arctic terrestrial and aquatic ecosystems, a review",2012
Marc,Amyot,10.1016/j.envres.2011.09.018,5534433,JOURNAL_ARTICLE,Environmental Research,0013-9351,Elsevier BV,Effects of various cooking methods and food components on bioaccessibility of mercury from fish,2011
Marc,Amyot,10.1016/j.envres.2011.09.018,11260465,JOURNAL_ARTICLE,Environmental Research,0013-9351,Elsevier BV,Effects of various cooking methods and food components on bioaccessibility of mercury from fish,2011
Marc,Amyot,10.1016/j.envpol.2010.09.034,5534445,JOURNAL_ARTICLE,Environmental Pollution,0269-7491,Elsevier BV,Habitat-specific bioaccumulation of methylmercury in invertebrates of small mid-latitude lakes in North America,2011
Marc,Amyot,10.1016/j.envpol.2010.09.034,11260468,JOURNAL_ARTICLE,Environmental Pollution,0269-7491,Elsevier BV,Habitat-specific bioaccumulation of methylmercury in invertebrates of small mid-latitude lakes in North America,2011
Marc,Amyot,10.1016/j.envpol.2010.09.034,13214431,JOURNAL_ARTICLE,Environmental Pollution,0269-7491,Elsevier BV,Habitat-specific bioaccumulation of methylmercury in invertebrates of small mid-latitude lakes in North America,2011
Marc,Amyot,10.1021/es2010072,5534457,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),Methanogens: Principal Methylators of Mercury in Lake Periphyton,2011
Marc,Amyot,10.1021/es2010072,11260466,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),Methanogens: Principal methylators of mercury in lake periphyton,2011
Marc,Amyot,,11260464,JOURNAL_ARTICLE,,,,Photoreactions of Mercury in Aquatic Systems,2011
Marc,Amyot,10.1071/EN10056,5534487,JOURNAL_ARTICLE,Environmental Chemistry,1448-2517,CSIRO Publishing,Snow - a photobiochemical exchange platform for volatile and semi-volatile organic compounds with the atmosphere,2011
Marc,Amyot,10.1071/EN10056,11260467,JOURNAL_ARTICLE,Environmental Chemistry,1448-2517,CSIRO Publishing,Snow a photobiochemical exchange platform for volatile and semi-volatile organic compounds with the atmosphere,2011
Marc,Amyot,10.1071/EN10056,13214433,JOURNAL_ARTICLE,Environmental Chemistry,1448-2517,CSIRO Publishing,Snow - a photobiochemical exchange platform for volatile and semi-volatile organic compounds with the atmosphere,2011
Marc,Amyot,10.1007/s00300-010-0797-9,5534423,JOURNAL_ARTICLE,Polar Biology,0722-4060,Springer Science and Business Media LLC,Carbon sources for lake food webs in the Canadian High Arctic and other regions of Arctic North America,2010
Marc,Amyot,10.1007/s00300-010-0797-9,11260470,JOURNAL_ARTICLE,Polar Biology,0722-4060,Springer Science and Business Media LLC,Carbon sources for lake food webs in the Canadian High Arctic and other regions of Arctic North America,2010
Marc,Amyot,10.1007/s00300-010-0797-9,13214434,JOURNAL_ARTICLE,Polar Biology,0722-4060,Springer Science and Business Media LLC,Carbon sources for lake food webs in the Canadian High Arctic and other regions of Arctic North America,2010
Marc,Amyot,,11260471,JOURNAL_ARTICLE,,,,"Response to ""Comparative estimate of P fluxes in lakes"" by J. M. Sereda and J. J. Hudson",2010
Marc,Amyot,10.1016/j.chemosphere.2010.06.041,5534481,JOURNAL_ARTICLE,Chemosphere,0045-6535,Elsevier BV,"Role of ultra-violet radiation, mercury and copper on the stability of dissolved glutathione in natural and artificial freshwater and saltwater",2010
Marc,Amyot,10.1016/j.chemosphere.2010.06.041,11260469,JOURNAL_ARTICLE,Chemosphere,0045-6535,Elsevier BV,"Role of ultra-violet radiation, mercury and copper on the stability of dissolved glutathione in natural and artificial freshwater and saltwater",2010
Marc,Amyot,10.1016/j.chemosphere.2010.06.041,13214436,JOURNAL_ARTICLE,Chemosphere,0045-6535,Elsevier BV,"Role of ultra-violet radiation, mercury and copper on the stability of dissolved glutathione in natural and artificial freshwater and saltwater",2010
Marc,Amyot,,13214437,JOURNAL_ARTICLE,,,,Stability of glutathione and bioavailability of mercury-glutathione complexes in aquatic systems,2010
Marc,Amyot,,5534424,JOURNAL_ARTICLE,,,,Daphniaand the role of productivity in controlling their distribution,2009
Marc,Amyot,10.1021/es901193x,5534419,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),Beaver Ponds Increase Methylmercury Concentrations in Canadian Shield Streams along Vegetation and Pond-Age Gradients,2009
Marc,Amyot,10.1021/es901193x,11260472,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),Beaver ponds increase methylmercury concentrations in Canadian shield streams along vegetation and pond-age gradients,2009
Marc,Amyot,10.1021/es901193x,13214438,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),Beaver Ponds Increase Methylmercury Concentrations in Canadian Shield Streams along Vegetation and Pond-Age Gradients,2009
Marc,Amyot,10.1111/j.1365-2486.2008.01729.x,5534434,JOURNAL_ARTICLE,Global Change Biology,1354-1013,Wiley,Elevated methylmercury in High Arctic Daphnia and the role of productivity in controlling their distribution,2009
Marc,Amyot,10.1111/j.1365-2486.2008.01729.x,11260474,JOURNAL_ARTICLE,Global Change Biology,1354-1013,Wiley,Elevated methylmercury in High Arctic Daphnia and the role of productivity in controlling their distribution,2009
Marc,Amyot,10.1111/j.1365-2486.2008.01729.x,13214439,JOURNAL_ARTICLE,Global Change Biology,1354-1013,Wiley,Elevated methylmercury in High Arctic Daphnia and the role of productivity in controlling their distribution,2009
Marc,Amyot,,5534440,CONFERENCE_PAPER,,,,Fate of mercury entering lakes and ponds in the Canadian High Arctic: Role of biological and geochemical drivers,2009
Marc,Amyot,10.1016/j.chemosphere.2008.10.045,5534446,JOURNAL_ARTICLE,Chemosphere,0045-6535,Elsevier BV,Importance of elemental mercury in lake sediments,2009
Marc,Amyot,10.1016/j.chemosphere.2008.10.045,11260475,JOURNAL_ARTICLE,Chemosphere,0045-6535,Elsevier BV,Importance of elemental mercury in lake sediments,2009
Marc,Amyot,10.1016/j.chemosphere.2008.10.045,13214441,JOURNAL_ARTICLE,Chemosphere,0045-6535,Elsevier BV,Importance of elemental mercury in lake sediments,2009
Marc,Amyot,,19443753,OTHER,,,,"Mercury chemical transformations in the gas, aqueous and heterogeneous phases: state-of-the-art science and uncertainties",2009
Marc,Amyot,10.1029/2008JG000763,5534484,JOURNAL_ARTICLE,Journal of Geophysical Research Atmospheres,0148-0227,American Geophysical Union (AGU),Seasonal methylmercury dynamics in water draining three beaver impoundments of varying age,2009
Marc,Amyot,10.1029/2008JG000763,11260473,JOURNAL_ARTICLE,Journal of Geophysical Research Atmospheres,0148-0227,American Geophysical Union (AGU),Seasonal methylmercury dynamics in water draining three beaver impoundments of varying age,2009
Marc,Amyot,10.1029/2008JG000763,13214442,JOURNAL_ARTICLE,Journal of Geophysical Research Atmospheres,0148-0227,American Geophysical Union (AGU),Seasonal methylmercury dynamics in water draining three beaver impoundments of varying age,2009
Marc,Amyot,,19443751,OTHER,,,,Spatial coverage and temporal trends of atmospheric mercury measurements in Polar Regions,2009
Marc,Amyot,,11260478,JOURNAL_ARTICLE,,,,A synthesis of atmospheric mercury depletion event chemistry in the atmosphere and snow,2008
Marc,Amyot,10.4319/lo.2008.53.5.1988,19443602,JOURNAL_ARTICLE,Limnology and Oceanography,0024-3590,Wiley,Fish decomposition in boreal lakes and biogeochemical implications,2008
Marc,Amyot,10.1021/es801619h,5534456,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),"Metamorphosis in Chironomids, More than Mercury Supply, Controls Methylmercury Transfer to Fish in High Arctic Lakes",2008
Marc,Amyot,10.1021/es801619h,11260476,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),"Metamorphosis in chironomids, more than mercury supply, controls methylmercury transfer to fish in high Arctic lakes",2008
Marc,Amyot,10.1021/es801619h,13214445,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),"Metamorphosis in Chironomids, More than Mercury Supply, Controls Methylmercury Transfer to Fish in High Arctic Lakes",2008
Marc,Amyot,10.1038/ngeo108,5534463,JOURNAL_ARTICLE,Nature Geoscience,1752-0894,Springer Nature,Nitrogen transfer from sea to land via commercial fisheries,2008
Marc,Amyot,10.1038/ngeo108,11260479,JOURNAL_ARTICLE,Nature Geoscience,1752-0894,Springer Nature,Nitrogen transfer from sea to land via commercial fisheries,2008
Marc,Amyot,10.1038/ngeo108,13214446,JOURNAL_ARTICLE,Nature Geoscience,1752-0894,Springer Nature,Nitrogen transfer from sea to land via commercial fisheries,2008
Marc,Amyot,10.1021/es061980b,5534421,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),Biological and chemical redox transformations of mercury in fresh and salt waters of the high arctic during spring and summer,2007
Marc,Amyot,10.1021/es061980b,11260487,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),Biological and chemical redox transformations of mercury in fresh and salt waters of the high arctic during spring and summer,2007
Marc,Amyot,10.1021/es061980b,13214447,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),Biological and chemical redox transformations of mercury in fresh and salt waters of the high arctic during spring and summer,2007
Marc,Amyot,10.1897/06-148r.1,19443931,JOURNAL_ARTICLE,Environmental Toxicology and Chemistry,0730-7268,Wiley,EVASION OF ADDED ISOTOPIC MERCURY FROM A NORTHERN TEMPERATE LAKE,2007
Marc,Amyot,10.1897/06-148R.1,11260488,JOURNAL_ARTICLE,Environmental Toxicology and Chemistry,0730-7268,Wiley,Evasion of added isotopic mercury from a northern temperate lake,2007
Marc,Amyot,10.1016/j.gca.2007.03.003,5534449,JOURNAL_ARTICLE,Geochimica et Cosmochimica Acta,0016-7037,Elsevier BV,Influence of temperate mixed and deciduous tree covers on Hg concentrations and photoredox transformations in snow,2007
Marc,Amyot,10.1016/j.gca.2007.03.003,11260485,JOURNAL_ARTICLE,Geochimica et Cosmochimica Acta,0016-7037,Elsevier BV,Influence of temperate mixed and deciduous tree covers on Hg concentrations and photoredox transformations in snow,2007
Marc,Amyot,10.1016/j.gca.2007.03.003,13214449,JOURNAL_ARTICLE,Geochimica et Cosmochimica Acta,0016-7037,Elsevier BV,Influence of temperate mixed and deciduous tree covers on Hg concentrations and photoredox transformations in snow,2007
Marc,Amyot,10.1016/j.gca.2007.05.006,5534452,JOURNAL_ARTICLE,Geochimica et Cosmochimica Acta,0016-7037,Elsevier BV,"Mercury distribution, partitioning and speciation in coastal vs. inland High Arctic snow",2007
Marc,Amyot,10.1016/j.gca.2007.05.006,11260483,JOURNAL_ARTICLE,Geochimica et Cosmochimica Acta,0016-7037,Elsevier BV,"Mercury distribution, partitioning and speciation in coastal vs. inland High Arctic snow",2007
Marc,Amyot,10.1016/j.gca.2007.05.006,13214450,JOURNAL_ARTICLE,Geochimica et Cosmochimica Acta,0016-7037,Elsevier BV,"Mercury distribution, partitioning and speciation in coastal vs. inland High Arctic snow",2007
Marc,Amyot,10.1016/j.gca.2007.04.032,5534454,JOURNAL_ARTICLE,Geochimica et Cosmochimica Acta,0016-7037,Elsevier BV,Mercury transformations and fluxes in sediments of a riverine wetland,2007
Marc,Amyot,10.1016/j.gca.2007.04.032,11260482,JOURNAL_ARTICLE,Geochimica et Cosmochimica Acta,0016-7037,Elsevier BV,Mercury transformations and fluxes in sediments of a riverine wetland,2007
Marc,Amyot,10.1016/j.gca.2007.04.032,13214451,JOURNAL_ARTICLE,Geochimica et Cosmochimica Acta,0016-7037,Elsevier BV,Mercury transformations and fluxes in sediments of a riverine wetland,2007
Marc,Amyot,10.1128/AEM.02701-06,5534471,JOURNAL_ARTICLE,Applied and Environmental Microbiology,0099-2240,American Society for Microbiology,Potential for mercury reduction by microbes in the high arctic,2007
Marc,Amyot,10.1128/AEM.02701-06,11260486,JOURNAL_ARTICLE,Applied and Environmental Microbiology,0099-2240,American Society for Microbiology,Potential for mercury reduction by microbes in the high Arctic,2007
Marc,Amyot,10.1128/AEM.02701-06,13214452,JOURNAL_ARTICLE,Applied and Environmental Microbiology,0099-2240,American Society for Microbiology,Potential for mercury reduction by microbes in the high arctic,2007
Marc,Amyot,10.1128/AEM.00819-07,5534472,JOURNAL_ARTICLE,Applied and Environmental Microbiology,0099-2240,American Society for Microbiology,"Potential for mercury reduction by microbes in the high arctic (vol 73, pg 2230, 2007)",2007
Marc,Amyot,10.1128/AEM.00819-07,11260484,JOURNAL_ARTICLE,Applied and Environmental Microbiology,0099-2240,American Society for Microbiology,"Erratum: Potential for mercury reduction by microbes in the high arctic (Applied and Environmental Microbiology (2007) 73, 7, (2230-2238))",2007
Marc,Amyot,10.1128/AEM.00819-07,13214453,JOURNAL_ARTICLE,Applied and Environmental Microbiology,0099-2240,American Society for Microbiology,"Potential for mercury reduction by microbes in the high arctic (vol 73, pg 2230, 2007)",2007
Marc,Amyot,,5534500,JOURNAL_ARTICLE,,,,Underwater infrared video system for behavioral studies in lakes,2007
Marc,Amyot,10.4319/lom.2007.5.371,19443604,JOURNAL_ARTICLE,Limnology and Oceanography Methods,1541-5856,Wiley,Underwater infrared video system for behavioural studies in lakes,2007
Marc,Amyot,10.1073/pnas.0704186104,5534501,JOURNAL_ARTICLE,Proceedings of the National Academy of Sciences,0027-8424,Proceedings of the National Academy of Sciences,Whole-ecosystem study shows rapid fish-mercury response to changes in mercury deposition,2007
Marc,Amyot,10.1073/pnas.0704186104,11260480,JOURNAL_ARTICLE,Proceedings of the National Academy of Sciences,0027-8424,Proceedings of the National Academy of Sciences,Whole-ecosystem study shows rapid fish-mercury response to changes in mercury deposition,2007
Marc,Amyot,10.1073/pnas.0704186104,13214455,JOURNAL_ARTICLE,Proceedings of the National Academy of Sciences,0027-8424,Proceedings of the National Academy of Sciences,Whole-ecosystem study shows rapid fish-mercury response to changes in mercury deposition,2007
Marc,Amyot,10.1029/2005JD006930,5534416,JOURNAL_ARTICLE,Journal of Geophysical Research Atmospheres,0148-0227,American Geophysical Union (AGU),Air-water gas exchange of mercury in the Bay Saint Francois wetlands: Observation and model parameterization,2006
Marc,Amyot,10.1029/2005JD006930,11260490,JOURNAL_ARTICLE,Journal of Geophysical Research Atmospheres,0148-0227,American Geophysical Union (AGU),Air-water gas exchange of mercury in the Bay Saint François wetlands: Observation and model parameterization,2006
Marc,Amyot,10.1029/2005JD006930,13214456,JOURNAL_ARTICLE,Journal of Geophysical Research Atmospheres,0148-0227,American Geophysical Union (AGU),Air-water gas exchange of mercury in the Bay Saint Francois wetlands: Observation and model parameterization,2006
Marc,Amyot,10.1021/es051062y,5534444,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),Gross photoreduction kinetics of mercury in temperate freshwater lakes and rivers: Application to a general model of DGM dynamics,2006
Marc,Amyot,10.1021/es051062y,11260493,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),Gross photoreduction kinetics of mercury in temperate freshwater lakes and rivers: Application to a general model of DGM dynamics,2006
Marc,Amyot,10.1021/es051062y,13214457,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),Gross photoreduction kinetics of mercury in temperate freshwater lakes and rivers: Application to a general model of DGM dynamics,2006
Marc,Amyot,10.1289/ehp.7857,5534462,CONFERENCE_PAPER,Environmental Health Perspectives,0091-6765,Environmental Health Perspectives,New evidence on variations of human body burden of methylmercury from fish consumption,2006
Marc,Amyot,10.1289/ehp.7857,11260492,JOURNAL_ARTICLE,Environmental Health Perspectives,0091-6765,Environmental Health Perspectives,New evidence on variations of human body burden of methylmercury from fish consumption,2006
Marc,Amyot,10.1289/ehp.7857,13214458,CONFERENCE_PAPER,Environmental Health Perspectives,0091-6765,Environmental Health Perspectives,New evidence on variations of human body burden of methylmercury from fish consumption,2006
Marc,Amyot,10.1016/j.chemosphere.2006.05.066,11260489,JOURNAL_ARTICLE,Chemosphere,0045-6535,Elsevier BV,Relationship between the loading rate of inorganic mercury to aquatic ecosystems and dissolved gaseous mercury production and evasion,2006
